 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time
 0,             1,               0,              2,         1,           0,          1
 1,             1,               0,              0,         1,           0,          0
 2,             4,               0,              1,         6,           2,          2
 3,             7,               0,              1,        13,           5,          2
 4,            12,               0,              1,        15,           5,          2
 5,            22,               0,              1,        33,           5,          3
 6,            33,               0,              2,        28,           5,          4
 7,            38,               0,              2,        34,          10,          3
 8,            43,               0,              2,        49,          17,          4
 9,            50,               0,              3,        56,          19,          5
10,            53,               0,              4,        70,          26,          6
